Serial_number:,,
263413,,
Project ID:,,
ERCZO,,
Location:,,
Rancho Venada MH0 - near Jerry's house,,
RainFall,,
UNIT: mm,,
Rain Cal. Constant: 0.254000 mm,,
Date,Time,RainFall
2/17/17,2:53:09 PM,9.144
2/18/17,2:53:09 PM,19.558001
2/19/17,2:53:09 PM,46.990001
2/20/17,2:53:09 PM,64.262002
2/21/17,2:53:09 PM,4.064
2/22/17,2:53:09 PM,1.27
2/23/17,2:53:09 PM,0
2/24/17,2:53:09 PM,0.508
2/25/17,2:53:09 PM,2.54
2/26/17,2:53:09 PM,6.096
2/27/17,2:53:09 PM,0
2/28/17,2:53:09 PM,0
3/1/17,2:53:09 PM,0
3/2/17,2:53:09 PM,0
3/3/17,2:53:09 PM,11.938
3/4/17,2:53:09 PM,34.544001
3/5/17,2:53:09 PM,21.336001
3/6/17,2:53:09 PM,7.366
3/7/17,2:53:09 PM,1.524
3/8/17,2:53:09 PM,0
3/9/17,2:53:09 PM,0
3/10/17,2:53:09 PM,0
3/11/17,2:53:09 PM,0
3/12/17,2:53:09 PM,0
3/13/17,2:53:09 PM,0
3/14/17,2:53:09 PM,0
3/15/17,2:53:09 PM,3.302
3/16/17,2:53:09 PM,0
3/17/17,2:53:09 PM,1.016
3/18/17,2:53:09 PM,0.254
3/19/17,2:53:09 PM,5.08
3/20/17,2:53:09 PM,22.606001
3/21/17,2:53:09 PM,18.288001
3/22/17,2:53:09 PM,0
3/23/17,2:53:09 PM,54.356002
3/24/17,2:53:09 PM,0.508
3/25/17,2:53:09 PM,6.858
3/26/17,2:53:09 PM,6.858
3/27/17,2:53:09 PM,0
3/28/17,2:53:09 PM,0
3/29/17,2:53:09 PM,4.064
3/30/17,2:53:09 PM,0
3/31/17,2:53:09 PM,0
4/1/17,2:53:09 PM,0
4/2/17,2:53:09 PM,0
4/3/17,2:53:09 PM,0
4/4/17,2:53:09 PM,0
4/5/17,2:53:09 PM,11.43
4/6/17,2:53:09 PM,45.974001
4/7/17,2:53:09 PM,23.114001
4/8/17,2:53:09 PM,0.254
4/9/17,2:53:09 PM,2.286
4/10/17,2:53:09 PM,7.366
4/11/17,2:53:09 PM,6.604
4/12/17,2:53:09 PM,27.686001
4/13/17,2:53:09 PM,0
4/14/17,2:53:09 PM,0
4/15/17,2:53:09 PM,9.398
4/16/17,2:53:09 PM,1.27
4/17/17,2:53:09 PM,18.288001
4/18/17,2:53:09 PM,0.254
4/19/17,2:53:09 PM,16.764001
4/20/17,2:53:09 PM,0
4/21/17,2:53:09 PM,2.286
4/22/17,2:53:09 PM,0
4/23/17,2:53:09 PM,10.414
4/24/17,2:53:09 PM,0
4/25/17,2:53:09 PM,4.318
4/26/17,2:53:09 PM,0
4/27/17,2:53:09 PM,0
4/28/17,2:53:09 PM,0
4/29/17,2:53:09 PM,0
4/30/17,2:53:09 PM,0
5/1/17,2:53:09 PM,0
5/2/17,2:53:09 PM,0
5/3/17,2:53:09 PM,0
5/4/17,2:53:09 PM,0
5/5/17,2:53:09 PM,0
5/6/17,2:53:09 PM,0
5/7/17,2:53:09 PM,0
5/8/17,2:53:09 PM,0
5/9/17,2:53:09 PM,0
5/10/17,2:53:09 PM,1.524
5/11/17,2:53:09 PM,0.762
5/12/17,2:53:09 PM,0.254
5/13/17,2:53:09 PM,0
5/14/17,2:53:09 PM,0
5/15/17,2:53:09 PM,0
5/16/17,2:53:09 PM,1.27
5/17/17,2:53:09 PM,0
5/18/17,2:53:09 PM,0
5/19/17,2:53:09 PM,0
5/20/17,2:53:09 PM,0
5/21/17,2:53:09 PM,0
5/22/17,2:53:09 PM,0
5/23/17,2:53:09 PM,0
5/24/17,2:53:09 PM,0
5/25/17,2:53:09 PM,0
5/26/17,2:53:09 PM,0
5/27/17,2:53:09 PM,0
5/28/17,2:53:09 PM,0
5/29/17,2:53:09 PM,0
5/30/17,2:53:09 PM,0
5/31/17,2:53:09 PM,0
6/1/17,2:53:09 PM,0
6/2/17,2:53:09 PM,0
6/3/17,2:53:09 PM,0
6/4/17,2:53:09 PM,0
6/5/17,2:53:09 PM,0
6/6/17,2:53:09 PM,0
6/7/17,2:53:09 PM,15.494
6/8/17,2:53:09 PM,0
6/9/17,2:53:09 PM,0
6/10/17,2:53:09 PM,0.762
6/11/17,2:53:09 PM,0
6/12/17,2:53:09 PM,0
6/13/17,2:53:09 PM,0
6/14/17,2:53:09 PM,0
6/15/17,2:53:09 PM,0
6/16/17,2:53:09 PM,0
6/17/17,2:53:09 PM,0
6/18/17,2:53:09 PM,0
6/19/17,2:53:09 PM,0
6/20/17,2:53:09 PM,0
6/21/17,2:53:09 PM,0
6/22/17,2:53:09 PM,0
6/23/17,2:53:09 PM,0
6/24/17,2:53:09 PM,0
6/25/17,2:53:09 PM,0
6/26/17,2:53:09 PM,0
6/27/17,2:53:09 PM,0
6/28/17,2:53:09 PM,0
6/29/17,2:53:09 PM,0
6/30/17,2:53:09 PM,0
7/1/17,2:53:09 PM,0
7/2/17,2:53:09 PM,0
7/3/17,2:53:09 PM,0
7/4/17,2:53:09 PM,0
7/5/17,2:53:09 PM,0
7/6/17,2:53:09 PM,0
7/7/17,2:53:09 PM,0
7/8/17,2:53:09 PM,0
7/9/17,2:53:09 PM,0
7/10/17,2:53:09 PM,0
7/11/17,2:53:09 PM,0
7/12/17,2:53:09 PM,0
7/13/17,2:53:09 PM,0
7/14/17,2:53:09 PM,0
7/15/17,2:53:09 PM,0
7/16/17,2:53:09 PM,0
7/17/17,2:53:09 PM,0
7/18/17,2:53:09 PM,0
7/19/17,2:53:09 PM,0
7/20/17,2:53:09 PM,0
7/21/17,2:53:09 PM,0
7/22/17,2:53:09 PM,0
7/23/17,2:53:09 PM,0
7/24/17,2:53:09 PM,0
7/25/17,2:53:09 PM,0
7/26/17,2:53:09 PM,0
7/27/17,2:53:09 PM,0
7/28/17,2:53:09 PM,0
7/29/17,2:53:09 PM,0
7/30/17,2:53:09 PM,0
7/31/17,2:53:09 PM,0
8/1/17,2:53:09 PM,0
8/2/17,2:53:09 PM,0
8/3/17,2:53:09 PM,0
8/4/17,2:53:09 PM,0
8/5/17,2:53:09 PM,0
8/6/17,2:53:09 PM,0
8/7/17,2:53:09 PM,0
8/8/17,2:53:09 PM,0
8/9/17,2:53:09 PM,0
8/10/17,2:53:09 PM,0
8/11/17,2:53:09 PM,0
8/12/17,2:53:09 PM,0
8/13/17,2:53:09 PM,0
8/14/17,2:53:09 PM,0
8/15/17,2:53:09 PM,0
8/16/17,2:53:09 PM,0
8/17/17,2:53:09 PM,0
8/18/17,2:53:09 PM,0
8/19/17,2:53:09 PM,0
8/20/17,2:53:09 PM,0
8/21/17,2:53:09 PM,0
8/22/17,2:53:09 PM,0
8/23/17,2:53:09 PM,0
8/24/17,2:53:09 PM,0
8/25/17,2:53:09 PM,0
8/26/17,2:53:09 PM,0
8/27/17,2:53:09 PM,4.572
8/28/17,2:53:09 PM,0
8/29/17,2:53:09 PM,0
8/30/17,2:53:09 PM,0
8/31/17,2:53:09 PM,0
9/1/17,2:53:09 PM,0
9/2/17,2:53:09 PM,0
9/3/17,2:53:09 PM,0
9/4/17,2:53:09 PM,0
9/5/17,2:53:09 PM,0
9/6/17,2:53:09 PM,0
9/7/17,2:53:09 PM,0
9/8/17,2:53:09 PM,0
9/9/17,2:53:09 PM,0.508
9/10/17,2:53:09 PM,0
9/11/17,2:53:09 PM,0
9/12/17,2:53:09 PM,0
9/13/17,2:53:09 PM,0.254
9/14/17,2:53:09 PM,0
9/15/17,2:53:09 PM,0
9/16/17,2:53:09 PM,0
9/17/17,2:53:09 PM,0
9/18/17,2:53:09 PM,0
9/19/17,2:53:09 PM,3.81
9/20/17,2:53:09 PM,0.254
9/21/17,2:53:09 PM,0
9/22/17,2:53:09 PM,0
9/23/17,2:53:09 PM,0
9/24/17,2:53:09 PM,0
9/25/17,2:53:09 PM,0
9/26/17,2:53:09 PM,0
9/27/17,2:53:09 PM,0
9/28/17,2:53:09 PM,0
9/29/17,2:53:09 PM,0
9/30/17,2:53:09 PM,0
10/1/17,2:53:09 PM,0
10/2/17,2:53:09 PM,0
10/3/17,2:53:09 PM,0
10/4/17,2:53:09 PM,0
10/5/17,2:53:09 PM,0
10/6/17,2:53:09 PM,0
10/7/17,2:53:09 PM,0
10/8/17,2:53:09 PM,0
10/9/17,2:53:09 PM,0
10/10/17,2:53:09 PM,0
10/11/17,2:53:09 PM,0
10/12/17,2:53:09 PM,0
10/13/17,2:53:09 PM,0
10/14/17,2:53:09 PM,0
10/15/17,2:53:09 PM,0
10/16/17,2:53:09 PM,0
10/17/17,2:53:09 PM,0
10/18/17,2:53:09 PM,0
10/19/17,2:53:09 PM,24.892001
10/20/17,2:53:09 PM,1.778
10/21/17,2:53:09 PM,2.794
10/22/17,2:53:09 PM,0
10/23/17,2:53:09 PM,0
10/24/17,2:53:09 PM,0
10/25/17,2:53:09 PM,0
10/26/17,2:53:09 PM,0
10/27/17,2:53:09 PM,0
10/28/17,2:53:09 PM,0
10/29/17,2:53:09 PM,0
10/30/17,2:53:09 PM,0
10/31/17,2:53:09 PM,0
11/1/17,2:53:09 PM,1.27
11/2/17,2:53:09 PM,17.018001
11/3/17,2:53:09 PM,9.652
11/4/17,2:53:09 PM,4.826
11/5/17,2:53:09 PM,2.032
11/6/17,2:53:09 PM,0
11/7/17,2:53:09 PM,6.604
11/8/17,2:53:09 PM,53.848002
11/9/17,2:53:09 PM,27.686001
11/10/17,2:53:09 PM,0.762
11/11/17,2:53:09 PM,0
11/12/17,2:53:09 PM,19.812001
11/13/17,2:53:09 PM,3.556
11/14/17,2:53:09 PM,22.606001
11/15/17,2:53:09 PM,38.100001
11/16/17,2:53:09 PM,7.874
11/17/17,2:53:09 PM,0.254
11/18/17,2:53:09 PM,0.254
11/19/17,2:53:09 PM,64.008002
11/20/17,2:53:09 PM,5.842
11/21/17,2:53:09 PM,0.254
11/22/17,2:53:09 PM,0.508
11/23/17,2:53:09 PM,2.54
11/24/17,2:53:09 PM,0.254
11/25/17,2:53:09 PM,53.340002
11/26/17,2:53:09 PM,19.812001
11/27/17,2:53:09 PM,0
11/28/17,2:53:09 PM,0.254
11/29/17,2:53:09 PM,0.254
11/30/17,2:53:09 PM,0
12/1/17,2:53:09 PM,0.254
12/2/17,2:53:09 PM,9.652
12/3/17,2:53:09 PM,0.254
12/4/17,2:53:09 PM,0
12/5/17,2:53:09 PM,0
12/6/17,2:53:09 PM,0.254
12/7/17,2:53:09 PM,0
12/8/17,2:53:09 PM,0.254
12/9/17,2:53:09 PM,0.254
12/10/17,2:53:09 PM,0
12/11/17,2:53:09 PM,0
12/12/17,2:53:09 PM,0.254
12/13/17,2:53:09 PM,0
12/14/17,2:53:09 PM,0
12/15/17,2:53:09 PM,0
12/16/17,2:53:09 PM,0
12/17/17,2:53:09 PM,0
12/18/17,2:53:09 PM,0
12/19/17,2:53:09 PM,10.16
12/20/17,2:53:09 PM,0
12/21/17,2:53:09 PM,0.254
12/22/17,2:53:09 PM,0
12/23/17,2:53:09 PM,0
12/24/17,2:53:09 PM,0
12/25/17,2:53:09 PM,0.254
12/26/17,2:53:09 PM,0.254
12/27/17,2:53:09 PM,0.254
12/28/17,2:53:09 PM,0
12/29/17,2:53:09 PM,0
12/30/17,2:53:09 PM,0
12/31/17,2:53:09 PM,0.254
1/1/18,2:53:09 PM,0.254
1/2/18,2:53:09 PM,0
1/3/18,2:53:09 PM,3.81
1/4/18,2:53:09 PM,23.622001
1/5/18,2:53:09 PM,0
1/6/18,2:53:09 PM,0.254
1/7/18,2:53:09 PM,37.338001
1/8/18,2:53:09 PM,18.796001
1/9/18,2:53:09 PM,3.556
1/10/18,2:53:09 PM,3.048
1/11/18,2:53:09 PM,4.064
1/12/18,2:53:09 PM,0.254
1/13/18,2:53:09 PM,0.254
1/14/18,2:53:09 PM,1.016
1/15/18,2:53:09 PM,16.256001
1/16/18,2:53:09 PM,0
1/17/18,2:53:09 PM,19.812001
1/18/18,2:53:09 PM,19.050001
1/19/18,2:53:09 PM,0.254
1/20/18,2:53:09 PM,13.462
1/21/18,2:53:09 PM,59.182002
1/22/18,2:53:09 PM,0.254
1/23/18,2:53:09 PM,36.322001
1/24/18,2:53:09 PM,27.940001
1/25/18,2:53:09 PM,5.08
1/26/18,2:53:09 PM,8.89
1/27/18,2:53:09 PM,0
1/28/18,2:53:09 PM,0
1/29/18,2:53:09 PM,0.254
1/30/18,2:53:09 PM,0.254
1/31/18,2:53:09 PM,0
2/1/18,2:53:09 PM,0.254
2/2/18,2:53:09 PM,0
2/3/18,2:53:09 PM,0
2/4/18,2:53:09 PM,0
2/5/18,2:53:09 PM,0
2/6/18,2:53:09 PM,0
2/7/18,2:53:09 PM,0
2/8/18,2:53:09 PM,0
2/9/18,2:53:09 PM,0
2/10/18,2:53:09 PM,1.016
2/11/18,2:53:09 PM,0.508
2/12/18,2:53:09 PM,0
2/13/18,2:53:09 PM,0
2/14/18,2:53:09 PM,0
2/15/18,2:53:09 PM,0
2/16/18,2:53:09 PM,0
2/17/18,2:53:09 PM,1.778
2/18/18,2:53:09 PM,0.762
2/19/18,2:53:09 PM,0
2/20/18,2:53:09 PM,0
2/21/18,2:53:09 PM,1.778
2/22/18,2:53:09 PM,0
2/23/18,2:53:09 PM,1.778
2/24/18,2:53:09 PM,0.508
2/25/18,2:53:09 PM,15.748001
2/26/18,2:53:09 PM,0
2/27/18,2:53:09 PM,1.27
2/28/18,2:53:09 PM,59.690002
3/1/18,2:53:09 PM,26.924001
3/2/18,2:53:09 PM,20.574001
3/3/18,2:53:09 PM,2.286
3/4/18,2:53:09 PM,0
3/5/18,2:53:09 PM,0.254
3/6/18,2:53:09 PM,0
3/7/18,2:53:09 PM,14.986
3/8/18,2:53:09 PM,5.08
3/9/18,2:53:09 PM,0.254
3/10/18,2:53:09 PM,0
3/11/18,2:53:09 PM,0.254
3/12/18,2:53:09 PM,27.940001
3/13/18,2:53:09 PM,16.002001
3/14/18,2:53:09 PM,22.860001
3/15/18,2:53:09 PM,32.258001
3/16/18,2:53:09 PM,6.096
3/17/18,2:53:09 PM,0
3/18/18,2:53:09 PM,0
3/19/18,2:53:09 PM,0.254
3/20/18,2:53:09 PM,17.018001
3/21/18,2:53:09 PM,30.988001
3/22/18,2:53:09 PM,9.652
3/23/18,2:53:09 PM,27.686001
3/24/18,2:53:09 PM,13.716
3/25/18,2:53:09 PM,0.254
3/26/18,2:53:09 PM,0
3/27/18,2:53:09 PM,0
3/28/18,2:53:09 PM,0
3/29/18,2:53:09 PM,0
3/30/18,2:53:09 PM,4.318
3/31/18,2:53:09 PM,0.508
4/1/18,2:53:09 PM,0.508
4/2/18,2:53:09 PM,0
4/3/18,2:53:09 PM,0
4/4/18,2:53:09 PM,0
4/5/18,2:53:09 PM,0
4/6/18,2:53:09 PM,0
4/7/18,2:53:09 PM,0
4/8/18,2:53:09 PM,0
4/9/18,2:53:09 PM,0
4/10/18,2:53:09 PM,0
4/11/18,2:53:09 PM,0
4/12/18,2:53:09 PM,0
4/13/18,2:53:09 PM,0
4/14/18,2:53:09 PM,0
4/15/18,2:53:09 PM,0
4/16/18,2:53:09 PM,0
4/17/18,2:53:09 PM,0
4/18/18,2:53:09 PM,0
4/19/18,2:53:09 PM,0
4/20/18,2:53:09 PM,0
4/21/18,2:53:09 PM,0
4/22/18,2:53:09 PM,0
4/23/18,2:53:09 PM,0
4/24/18,2:53:09 PM,0
4/25/18,2:53:09 PM,0
4/26/18,2:53:09 PM,0
4/27/18,2:53:09 PM,0
4/28/18,2:53:09 PM,0
4/29/18,2:53:09 PM,0
4/30/18,2:53:09 PM,0
5/1/18,2:53:09 PM,0
5/2/18,2:53:09 PM,0
5/3/18,2:53:09 PM,20.574001
5/4/18,2:53:09 PM,88.646003
5/5/18,2:53:09 PM,0
5/6/18,2:53:09 PM,0
5/7/18,2:53:09 PM,0
5/8/18,2:53:09 PM,0
5/9/18,2:53:09 PM,0
5/10/18,2:53:09 PM,0
5/11/18,2:53:09 PM,0
5/12/18,2:53:09 PM,0
5/13/18,2:53:09 PM,0
5/14/18,2:53:09 PM,0
5/15/18,2:53:09 PM,0
5/16/18,2:53:09 PM,0
5/17/18,2:53:09 PM,0
5/18/18,2:53:09 PM,0
5/19/18,2:53:09 PM,0
5/20/18,2:53:09 PM,0
5/21/18,2:53:09 PM,0
5/22/18,2:53:09 PM,0
5/23/18,2:53:09 PM,0
5/24/18,2:53:09 PM,1.27
5/25/18,2:53:09 PM,2.794
5/26/18,2:53:09 PM,0
5/27/18,2:53:09 PM,0
5/28/18,2:53:09 PM,0
5/29/18,2:53:09 PM,0
5/30/18,2:53:09 PM,0
5/31/18,2:53:09 PM,0
6/1/18,2:53:09 PM,0
6/2/18,2:53:09 PM,0
6/3/18,2:53:09 PM,0
6/4/18,2:53:09 PM,0
6/5/18,2:53:09 PM,0
6/6/18,2:53:09 PM,0
6/7/18,2:53:09 PM,0
6/8/18,2:53:09 PM,0
6/9/18,2:53:09 PM,0
6/10/18,2:53:09 PM,0
6/11/18,2:53:09 PM,0
6/12/18,2:53:09 PM,0
6/13/18,2:53:09 PM,0
6/14/18,2:53:09 PM,0
6/15/18,2:53:09 PM,0
6/16/18,2:53:09 PM,0
6/17/18,2:53:09 PM,0
6/18/18,2:53:09 PM,0
6/19/18,2:53:09 PM,0
6/20/18,2:53:09 PM,0
6/21/18,2:53:09 PM,0
6/22/18,2:53:09 PM,0
6/23/18,2:53:09 PM,0
6/24/18,2:53:09 PM,0
6/25/18,2:53:09 PM,0
6/26/18,2:53:09 PM,0
6/27/18,2:53:09 PM,0
6/28/18,2:53:09 PM,0
6/29/18,2:53:09 PM,0
6/30/18,2:53:09 PM,0
7/1/18,2:53:09 PM,0
7/2/18,2:53:09 PM,0
7/3/18,2:53:09 PM,0
7/4/18,2:53:09 PM,0
7/5/18,2:53:09 PM,0
7/6/18,2:53:09 PM,0
7/7/18,2:53:09 PM,0
7/8/18,2:53:09 PM,0
7/9/18,2:53:09 PM,0
7/10/18,2:53:09 PM,0
7/11/18,2:53:09 PM,0
7/12/18,2:53:09 PM,0
7/13/18,2:53:09 PM,0
7/14/18,2:53:09 PM,0
7/15/18,2:53:09 PM,0
7/16/18,2:53:09 PM,0
7/17/18,2:53:09 PM,0
7/18/18,2:53:09 PM,0
7/19/18,2:53:09 PM,0
7/20/18,2:53:09 PM,0
7/21/18,2:53:09 PM,0
7/22/18,2:53:09 PM,0
7/23/18,2:53:09 PM,0
7/24/18,2:53:09 PM,0
7/25/18,2:53:09 PM,0
7/26/18,2:53:09 PM,0
7/27/18,2:53:09 PM,0
7/28/18,2:53:09 PM,0
7/29/18,2:53:09 PM,0
7/30/18,2:53:09 PM,0
7/31/18,2:53:09 PM,0
8/1/18,2:53:09 PM,0
8/2/18,2:53:09 PM,0
8/3/18,2:53:09 PM,0
8/4/18,2:53:09 PM,0
8/5/18,2:53:09 PM,0
8/6/18,2:53:09 PM,0
8/7/18,2:53:09 PM,0
8/8/18,2:53:09 PM,0
8/9/18,2:53:09 PM,0
8/10/18,2:53:09 PM,0
8/11/18,2:53:09 PM,0
8/12/18,2:53:09 PM,0
8/13/18,2:53:09 PM,0
8/14/18,2:53:09 PM,0
8/15/18,2:53:09 PM,0
8/16/18,2:53:09 PM,0
8/17/18,2:53:09 PM,0
8/18/18,2:53:09 PM,0
8/19/18,2:53:09 PM,0
8/20/18,2:53:09 PM,0
8/21/18,2:53:09 PM,0
8/22/18,2:53:09 PM,0
8/23/18,2:53:09 PM,0
8/24/18,2:53:09 PM,0
8/25/18,2:53:09 PM,0
8/26/18,2:53:09 PM,0
8/27/18,2:53:09 PM,0
8/28/18,2:53:09 PM,0
8/29/18,2:53:09 PM,0
8/30/18,2:53:09 PM,0
8/31/18,2:53:09 PM,0
9/1/18,2:53:09 PM,0
9/2/18,2:53:09 PM,0
9/3/18,2:53:09 PM,0
9/4/18,2:53:09 PM,0
9/5/18,2:53:09 PM,0
9/6/18,2:53:09 PM,0
9/7/18,2:53:09 PM,0
9/8/18,2:53:09 PM,0
9/9/18,2:53:09 PM,0
9/10/18,2:53:09 PM,0
9/11/18,2:53:09 PM,0
9/12/18,2:53:09 PM,0
9/13/18,2:53:09 PM,0
9/14/18,2:53:09 PM,0
9/15/18,2:53:09 PM,0
9/16/18,2:53:09 PM,0
9/17/18,2:53:09 PM,0
9/18/18,2:53:09 PM,0
9/19/18,2:53:09 PM,0
9/20/18,2:53:09 PM,0
9/21/18,2:53:09 PM,0
9/22/18,2:53:09 PM,0
9/23/18,2:53:09 PM,0
9/24/18,2:53:09 PM,0
9/25/18,2:53:09 PM,0
9/26/18,2:53:09 PM,0
9/27/18,2:53:09 PM,0
9/28/18,2:53:09 PM,0
9/29/18,2:53:09 PM,0
9/30/18,2:53:09 PM,0
10/1/18,2:53:09 PM,17.526001
10/2/18,2:53:09 PM,4.318
10/3/18,2:53:09 PM,3.556
10/4/18,2:53:09 PM,0
10/5/18,2:53:09 PM,0
10/6/18,2:53:09 PM,0
10/7/18,2:53:09 PM,0
10/8/18,2:53:09 PM,0
10/9/18,2:53:09 PM,0
10/10/18,2:53:09 PM,0
10/11/18,2:53:09 PM,0
10/12/18,2:53:09 PM,0
10/13/18,2:53:09 PM,0
10/14/18,2:53:09 PM,0
10/15/18,2:53:09 PM,0
10/16/18,2:53:09 PM,0
10/17/18,2:53:09 PM,0
10/18/18,2:53:09 PM,0
10/19/18,2:53:09 PM,0
10/20/18,2:53:09 PM,0
10/21/18,2:53:09 PM,0
10/22/18,2:53:09 PM,0
10/23/18,2:53:09 PM,0
10/24/18,2:53:09 PM,0
10/25/18,2:53:09 PM,0
10/26/18,2:53:09 PM,0
10/27/18,2:53:09 PM,0
10/28/18,2:53:09 PM,0
10/29/18,2:53:09 PM,0
10/30/18,2:53:09 PM,0
10/31/18,2:53:09 PM,0
11/1/18,2:53:09 PM,0
11/2/18,2:53:09 PM,0
11/3/18,2:53:09 PM,0
11/4/18,2:53:09 PM,0
11/5/18,2:53:09 PM,0
11/6/18,2:53:09 PM,0
11/7/18,2:53:09 PM,0
11/8/18,2:53:09 PM,0
11/9/18,2:53:09 PM,0
11/10/18,2:53:09 PM,0
11/11/18,2:53:09 PM,0
11/12/18,2:53:09 PM,0
11/13/18,2:53:09 PM,0
11/14/18,2:53:09 PM,0
11/15/18,2:53:09 PM,0
11/16/18,2:53:09 PM,0
11/17/18,2:53:09 PM,0
11/18/18,2:53:09 PM,0
11/19/18,2:53:09 PM,0
11/20/18,2:53:09 PM,11.176
11/21/18,2:53:09 PM,6.604
11/22/18,2:53:09 PM,13.462
11/23/18,2:53:09 PM,0
11/24/18,2:53:09 PM,0
11/25/18,2:53:09 PM,0
11/26/18,2:53:09 PM,2.032
11/27/18,2:53:09 PM,0.762
11/28/18,2:53:09 PM,39.370001
11/29/18,2:53:09 PM,0.508
11/30/18,2:53:09 PM,0
12/1/18,2:53:09 PM,0
12/2/18,2:53:09 PM,0
12/3/18,2:53:09 PM,0
12/4/18,2:53:09 PM,7.874
12/5/18,2:53:09 PM,0.254
12/6/18,2:53:09 PM,0
12/7/18,2:53:09 PM,0
12/8/18,2:53:09 PM,0.254
12/9/18,2:53:09 PM,0.254
12/10/18,2:53:09 PM,0
12/11/18,2:53:09 PM,0
12/12/18,2:53:09 PM,0
12/13/18,2:53:09 PM,0
12/14/18,2:53:09 PM,1.27
12/15/18,2:53:09 PM,1.524
12/16/18,2:53:09 PM,6.35
12/17/18,2:53:09 PM,0
12/18/18,2:53:09 PM,0
12/19/18,2:53:09 PM,0
12/20/18,2:53:09 PM,2.032
12/21/18,2:53:09 PM,0.254
12/22/18,2:53:09 PM,0.762
12/23/18,2:53:09 PM,1.27
12/24/18,2:53:09 PM,3.302
12/25/18,2:53:09 PM,0
12/26/18,2:53:09 PM,0
12/27/18,2:53:09 PM,1.016
12/28/18,2:53:09 PM,0
12/29/18,2:53:09 PM,0
12/30/18,2:53:09 PM,0
12/31/18,2:53:09 PM,0
1/1/19,2:53:09 PM,0
1/2/19,2:53:09 PM,0
1/3/19,2:53:09 PM,0
1/4/19,2:53:09 PM,0
1/5/19,2:53:09 PM,0
1/6/19,2:53:09 PM,0
1/7/19,2:53:09 PM,0
1/8/19,2:53:09 PM,0
1/9/19,2:53:09 PM,0
1/10/19,2:53:09 PM,0
1/11/19,2:53:09 PM,7.112
1/12/19,2:53:09 PM,0
1/13/19,2:53:09 PM,3.302
1/14/19,2:53:09 PM,17.526001
1/15/19,2:53:09 PM,37.592001
1/16/19,2:53:09 PM,18.796001
1/17/19,2:53:09 PM,1.524
1/18/19,2:53:09 PM,2.286
1/19/19,2:53:09 PM,3.81